tea_cdn,district_name,category,reason
220904,Everman ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
220905,Fort Worth ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=9, at_large=0, smd_seats=9 (districts [1, 2, 3, 4, 5, 6, 7, 8, 9]) -- directory has no per-person seat number to map named trustees to numbered posts"
226903,San Angelo ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=1, smd_seats=6 (districts [1, 2, 3, 4, 5, 6]) -- directory has no per-person seat number to map named trustees to numbered posts"
226906,Wall ISD,at_large_over_count,8 named rows vs board_size=7 -- export likely holds a stale/duplicate entry
227901,Austin ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=9, at_large=2, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
227910,Del Valle ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=9, at_large=0, smd_seats=9 (districts [1, 2, 3, 4, 5, 6, 7, 8, 9]) -- directory has no per-person seat number to map named trustees to numbered posts"
231901,McCamey ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
232904,Utopia ISD,at_large_over_count,8 named rows vs board_size=7 -- export likely holds a stale/duplicate entry
235902,Victoria ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
238902,Monahans-Wickett-Pyote ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
240901,Laredo ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
240903,United ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
243905,Wichita Falls ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
246907,Jarrell ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
246911,Taylor ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
247901,Floresville ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
247906,Stockdale ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
248901,Kermit ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
248902,Wink-Loving ISD,at_large_over_count,8 named rows vs board_size=7 -- export likely holds a stale/duplicate entry
251902,Plains ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
253901,Zapata County ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
