City,Website,Status,MML_Slug,Phone,Population,NextElection,Officials
Friars Point,,"PAGE FOUND, NO WEB LINK",Friars-Point,(662) 383-2233,887,06/2029,Mayor: Charles Fair | Alderwoman: Christie Bee | Alderwoman: Gayle Brady | Alderwoman: Sheriona Marshall | Alderwoman: Catherine Miller | Alderman: Sylvester Strokes | City Clerk: Tanita Tate
Fulton,,"PAGE FOUND, NO WEB LINK",Fulton,(662) 862-4929,"4,542",06/2029,Mayor: Emily Quinn | Alderwoman: Beth Blake-Martin | Alderman: Corey Moore | Alderman: Russ Ramey | Alderwoman: Daisy Stone | Alderman At-Large: Brad Chatham | City Clerk: Kelsey Leathers
Gattman,,"PAGE FOUND, NO WEB LINK",Gattman,(662) 257-1003,77,06/2029,Mayor: Wayne Downey | Alderman: Jerry Blaylock | Alderwoman: Elizabeth McKay | Alderman: John Woodham | City Clerk: Tabitha Easter
Gautier,,"PAGE FOUND, NO WEB LINK",Gautier,(228) 497-8000,"19,021",06/2029,"Mayor: Casey Vaughan | Councilman: Dante Elbin | Councilman: Lorenzo Fuller | Councilwoman: Kay Jamison | Councilman At-Large: James Minor | Councilman: Cameron George | Councilman: Charles ""Rusty"" Anderson | Councilman: Richard Jackson | City Manager: Chassity Bilbo | City Clerk: Teresa Montgomery"
Georgetown,,"PAGE FOUND, NO WEB LINK",Georgetown,(601) 858-2463,315,06/2029,Mayor: William DuBose | Alderwoman At-Large: Teresa Brewer | Alderman At-Large: Robert Haynes | Alderwoman At-Large: Samantha Mulligan | Alderwoman At-Large: Melinda Terrell | Alderman At-Large: Ernest Thornhill | City Clerk: Connie Page
Glen,,"PAGE FOUND, NO WEB LINK",Glen,(662) 286-8288,382,06/2025,Mayor: David  Derrick | Alderwoman: Frances Null | Alderwoman: Patsy Smith | Alderwoman: Shirley Tutor | Alderman: James White | Alderman: Bryan White | City Clerk: Lynn Fielding
Glendora,,"PAGE FOUND, NO WEB LINK",Glendora,N/A,154,06/2025,Mayor: Johnnie Thomas | Alderwoman At-Large: Catherine Bridges | Alderwoman At-Large: Denise Fletcher | Alderwoman At-Large: Doilean Hill | Alderwoman At-Large: Debbie Johnson | Alderwoman At-Large: Latonya Thomas | City Clerk: Aquarius Simmons
Gloster,,"PAGE FOUND, NO WEB LINK",Gloster,(601) 225-4216,865,06/2029,Mayor: Jerry Norwood | Alderwoman: Catherine Bailey | Alderwoman: Betty Green | Alderman: Michael McClain | Alderwoman: Inez Bell | Alderwoman: Patricia Monroe | City Clerk: Shalonda  Weathersby
Gluckstadt,https://www.gluckstadtms.org,OK,Gluckstadt,(769) 567-2306,3600,06/2029,Mayor: Walter Morrison | Alderwoman At-Large: Miya Bates | Alderwoman At-Large: Jessie Campbell | Alderman At-Large: Jayce Powell | Alderman At-Large: John Taylor | Alderman At-Large: Chip Williams | City Clerk: Lindsay Kellum
Golden,,"PAGE FOUND, NO WEB LINK",Golden,(662) 454-7100,192,06/2029,Mayor: Sherry Shook | Alderwoman: Sandra Collums | Alderwoman: Linda Epps | Alderwoman: Dixie Honeycutt | Alderman: Alex Horn | Alderman: Brian Thompson | City Clerk: Tina Payne
Goodman,,"PAGE FOUND, NO WEB LINK",Goodman,(662) 472-2263,"1,258",06/2025,Mayor: Michael Howard | Alderman: Claude Anderson | Alderman At-Large: Elijah Brooks | Alderman: Warren Cole | Alderman: James Thurman | Alderwoman: Sandra Young | City Clerk: Melissa Love-Griffin
Greenville,https://greenvillems.org/,OK,Greenville,(662) 237-8150,"28,000",08/2025,Mayor: Errick Simmons | Councilman: Vernon Greenlee | Councilman: Al Brock | Councilwoman: Lois Hawkins | Councilwoman: Lurann Thomas Kingdom | Councilman: Bill  Brozovich | Councilman: Tyrone Cook | City Clerk: Brenda  Young
Greenwood,,"PAGE FOUND, NO WEB LINK",Greenwood,(662) 453-2246,"14,242",06/2029,Mayor: Kenderick Cox | Councilman: Johnny Jennings | Councilwoman: Lisa Cookston | Councilman: Ronnie Stevenson | Councilman: Charles McCoy | Councilman: Andrew Powell | Councilman: Carl Palmer | City Clerk: Carla Williams
Grenada,http://www.grenadamississippi.com,OK,Grenada,(662) 226-8820,"12,700",06/2025,Mayor: Charles Latham | Councilwoman: Lori Chavis | Councilman: Warren Cox | Councilman: Eric Harris | Councilman: Lewis Johnson | Councilman: Ronald Merriman | Councilman: Michael Smith | Councilman: Fredreick Wilson | City Clerk: Angela Edwards | City Manager: Trina George
Gulfport,https://www.gulfport-ms.gov/,OK,Gulfport,(228) 868-5700,"72,926",06/2029,Mayor: Hugh Keating | Councilman: Kendal Buckner | Councilwoman: Carrissa  Corbett | Councilman: Johnny Hoggatt | Councilwoman: Ella Holmes-Hines | Councilman: Ron Roland | Councilman: B. J. Sellers | Councilman: Rusty  Walker | City Clerk: Rashida Bell
Gunnison,,"PAGE FOUND, NO WEB LINK",Gunnison,(662) 747-2213,295,06/2025,Mayor: Frances Ward | Alderwoman: Randy Butler | Alderman: John Calmese | Alderman: Allen Hopson | Alderwoman: Linda Taylor | Alderwoman: Mary Williamson | City Clerk: Linda Washington
Guntown,,"PAGE FOUND, NO WEB LINK",Guntown,(662) 348-5353,2585,06/2029,Mayor: Jeff Donahue | Alderwoman: Teena  Herring | Alderman: John Herring | Alderman: Petey Hopkins | Alderman: Mike Stahl | Alderman: Zach White | City Clerk: Mary  Roberts
Hatley,,"PAGE FOUND, NO WEB LINK",Hatley,(662) 256-7245,495,06/2029,Mayor: George King | Alderman At-Large: Robert Ausbon | Alderwoman At-Large: Courtney Coffee | Alderman At-Large: Jason Edwards | Alderwoman At-Large: Debra Johnson | Alderwoman At-Large: Sandra Vaughan | City Clerk: Amber Rowland
Hattiesburg,http://www.hattiesburgms.com,OK,Hattiesburg,(601) 545-4500,"48,414",06/2029,Mayor: Toby Barker | Councilman: Jeffrey George | Councilman: Eric Boney | Councilwoman: LeAnn Vance | Councilman: Dave Ware | Councilman: Nicholas Brown | City Clerk: Kermas Eaton
Hazlehurst,,"PAGE FOUND, NO WEB LINK",Hazlehurst,(601) 894-3131,"3,619",06/2029,Mayor: Kenneth Ramsey | Alderman: Jesse Larry | Alderman: Jeremy Longino | Alderwoman: Shirley Sandifer | Alderman: Jeremy McKinzie | Alderman: Kenneth Davis | City Clerk: Pamela Wilbert
Heidelberg,,"PAGE FOUND, NO WEB LINK",Heidelberg,(601) 787-3000,729,06/2029,Mayor: Robert Barnett | Alderwoman: Verlina Forthner | Alderwoman: Carolyn McFarland | Alderman: Milton Jones | Alderman: Richard Ball | Alderman: Derrick Cooley | City Clerk: Teresa Harvey
Hernando,https://www.cityofhernando.org/,OK,Hernando,(662) 429-9092,"17,138",06/2029,Mayor: Chip Johnson | Alderwoman At-Large: Lauren McLendon | Alderman: Bruce Robinson | Alderwoman: Natalie Lynch | Alderman: Andrew Miller | Alderman: Chad Wicker | Alderman: Kit Kitchens | Alderman: Ben Piper | City Clerk: Nicole  Hilario
Hickory,,"PAGE FOUND, NO WEB LINK",Hickory,(601) 646-2211,408,06/2029,Mayor: Charles Guyse | Alderwoman: Lori Gallaspy | Alderwoman: Maggie Nichols | Alderman: Ken Morgan | Alderwoman: Donna Ferguson | City Clerk: Jessica  Weir
Hickory Flat,,"PAGE FOUND, NO WEB LINK",Hickory-Flat,(662) 333-7884,596,06/2029,Mayor: Clinton Moffitt | Alderman: William Bowlin | Alderwoman: Reba Childers | Alderman: Bobby Dickerson | Alderwoman: Christina Gray | Alderman: Johnny Shelton | City Clerk: Kendra Garner | City Clerk: Brooke Howell
Hollandale,https://cityofhollandale.org/,OK,Hollandale,(662) 827-2241,"2,323",06/2029,Mayor: Michael Maybell | Alderwoman: Helen Johnson | Alderwoman: Geraldine Haggard | Alderwoman: Alice Robinson | Alderwoman: Sandra Wells | Alderwoman: Angela Johnson | City Clerk: Jeannette Bowdre
Holly Springs,,"PAGE FOUND, NO WEB LINK",Holly-Springs,(662) 252-4652,"6,968",06/2025,Mayor: Charles Terry | Alderwoman: Sandra Hodges | Alderman: Andre Jones | Alderwoman: Patricia Merriweather | Alderman: Jim Moore | Alderman: Dexter Shipp | City Clerk: Jerrica Jones
Horn Lake,http://www.hornlake.org,OK,Horn-Lake,(662) 393-6178,"26,066",06/2029,Mayor: Jimmy Stokes | Alderman: Larry  McKinney | Alderman: Joshua  Langston | Alderman: Tommy Bledsoe | Alderman: Jackie Bostick | Alderman: Kelly  Smith | Alderwoman: LaShonda Johnson | Alderwoman: Charlotte  Armstrong | City Clerk: Tanya Carter
Houston,https://www.houston.ms.gov/,OK,Houston,(662) 456-2328,"3,757",06/2029,Mayor: Stacey Parker | Alderwoman At-Large: Kirbi Dendy | Alderman: John Lancaster | Alderwoman: Shenia Jones | Alderman: Matt Callahan | Alderman: John Harris | City Clerk: Lisa Easley
Indianola,https://www.indianolams.gov/,OK,Indianola,(662) 887-3101,"9,646",10/2029,Mayor: Ken Featherstone | Alderman: Justin Deason | Alderman: Calvin Moton | Alderman: Johnny Phillips | Alderman: Keith Spealman | Alderman: Rodreigus Young | City Clerk: Stephanie Washington
Inverness,,"PAGE FOUND, NO WEB LINK",Inverness,(662) 265-5741,770,06/2029,Mayor: David Smith | Alderman At-Large: Thomas Lang | Alderman: David Christopher Steed | Alderman: Thomas Horne | Alderman: Kilpatrick Sibley | Vice Mayor: Henry Sibley | City Clerk: Shericka  Walker
Isola,,"PAGE FOUND, NO WEB LINK",Isola,(662) 962-7725,737,06/2029,Mayor: Kenneth  Toler | Alderwoman: Alma Custom | Alderman: Michol Hooker | Alderman: Calvin Lang | Alderman: Lawrence Anderson | Alderwoman: Linda Jones | City Clerk: Janice Hooker
Itta Bena,https://www.cityofittabena.com/,OK,Itta-Bena,(662) 254-7231,1549,06/2029,Mayor: Mary  Tyes-Williams | Alderwoman: Jo Ann Purnell | Alderwoman: Kim  Dawson | Alderman: Darrick  Hart | Alderman: Jerry Crockett | Alderwoman: Jaleesia Hart | City Clerk: Jasmine McClung
Iuka,https://iukams.com/,OK,Iuka,(662) 423-3781,"3,041",06/2029,Mayor: Kenny Carson | Alderman: Samuel Johnson | Alderwoman: Sandra  Perkins | Alderwoman: Anita Smith | Alderwoman: Anne Marie Brown | Alderman: Johnny Southward | City Clerk: Kelsey Smith
Jackson,,"PAGE FOUND, NO WEB LINK",Jackson,(601) 960-1084,"137,517",06/2029,Mayor: John Horhn | Councilwoman: Montyne Clay | Councilman: Brian Grizzell | Councilman: Vernon Hartley | Councilman: Kevin Parkinson | Councilwoman: Lashia Thomas | Councilman: Ashby Foote | Councilman: Kenneth Stokes | City Clerk: Angela Harris
Jonestown,,"PAGE FOUND, NO WEB LINK",Jonestown,(662) 358-4328,962,06/2029,Mayor: Colombus Russell | Alderman: Tasheena Galmore | Alderwoman: Metisha Johnson | Alderwoman: Subrenia Johnson | Alderwoman: LaShasa Griffin | Alderman: Terrance Holmes | City Clerk: Patricia Malone | City Clerk: Sonia Taylor
Jumpertown,,"PAGE FOUND, NO WEB LINK",Jumpertown,(662) 728-3658,379,06/2029,Mayor: Cindy White | Alderwoman: Susan Bane | Alderwoman: Pamela Holder | Alderwoman: Vickie Chaffin | Alderman: Stanley Michael | Alderman: Tyler Moore | City Clerk: Donna Hickman
Kilmichael,,"PAGE FOUND, NO WEB LINK",Kilmichael,(662) 262-4242,699,06/2029,Mayor: Thomas Rushing | Alderman: Earnest Curtis | Alderman: Bernard Daniels | Alderwoman: Wilma Carodine | Alderwoman: Cynthia Carneal | Alderman: James Bennett | City Clerk: Rosie McBride
Kosciusko,http://www.kosciusko.com,OK,Kosciusko,(662) 289-1226,"7,114",06/2029,Mayor: Tim Kyle | Alderman: James Culpepper | Alderman: Henry Daniel | Alderman: Robert Ellis | Alderman: Jeffery Woods | Alderman: Earl Price | City Clerk: Michelle Quesnot
Kossuth,,"PAGE FOUND, NO WEB LINK",Kossuth,(662) 664-0246,160,06/2029,Mayor: Caleb Marolt | Alderman: Mike  Bugg | Alderman: Mitch Dawson | Alderman: Scotty Mills | Alderwoman: Sherry Rolison | Alderman: Billy White | City Clerk: Randy Holt
Lake,,"PAGE FOUND, NO WEB LINK",Lake,(601) 775-3552,500,06/2029,Mayor: Jeffery Gladney | Alderman: Chad Hillman | Alderman: Gregg Hollingsworth | Alderman: Portia Nunley | Alderman: Paul Tadlock | Alderwoman: Kettra  Tally | City Clerk/Court Clerk: Pamela Luke
Lambert,,"PAGE FOUND, NO WEB LINK",Lambert,(662) 326-8018,"1,273",06/2029,Mayor: Kirk  Johnson | Alderman: Charles Crawford | Alderwoman: Shirley Gross | Alderman: Bernard White | Alderwoman: Della Strickland Moore | Alderman: Marvin Thigpen | City Clerk: Rosalyn McCorkle
Laurel,https://www.laurelms.com/,OK,Laurel,(601) 428-6404,"16,865",06/2029,Mayor: Johnny Magee | Councilman: Jason Capers | Councilman: Kevin Kelly | Councilwoman: Angie Scruggs | Councilman: George Carmichael | Councilwoman: Andrea  Ellis-Thomas | Councilwoman: Grace Amos | Councilwoman: Marian Allen | City Clerk: Kristal Jones
Leakesville,https://www.leakesvillems.com/,OK,Leakesville,(601) 394-2383,3995,06/2029,Mayor: David West | Alderwoman: McKay Bray | Alderman: Joe Bullard | Alderman: Willie Burley | Alderman: Richard Hale | Alderwoman: Karen Smith | City Clerk: Rex Garretson
Learned,,"PAGE FOUND, NO WEB LINK",Learned,(601) 885-6863,Board Meeting Days:,06/2029,Mayor: James Bobby Rayburn | Alderman: Robbie Barlow | Alderwoman: Bethany Edwards | Alderman: Walter Gibbes | Alderman: Henry Riggin | Alderwoman: Shirley Williams | City Clerk: Laura  Griffin
Leland,https://www.cityofleland.com/,OK,Leland,(662) 686-4136,"3,500",06/2029,Mayor: John Lee | Alderwoman: Barbara Brooks | Alderman: Johnnie Jones | Alderman: Terron Morris | Alderman: Michael Street | Alderwoman: Nancy Jo King | City Clerk: Aundrea Barber
Lena,,"PAGE FOUND, NO WEB LINK",Lena,(601) 654-3332,148,06/2029,Mayor: Jennifer Sherman | Alderman: Bryan Bell | Alderwoman: Charlyne Brown | Alderman: Hughlon Ellis | Alderman: John Lowry | Alderman: Trey Wilson | City Clerk/Court Clerk: Antoinette Bond
Lexington,https://www.msholmes.org/town/028/lexington,OK,Lexington,(662) 834-1261,"1,602",06/2029,Mayor: Percy Washington | Alderwoman At-Large: Clemetene Cooper | Alderman: Joshua Davis | Alderman: Richard Spencer | Alderman: Charles Simmons | City Clerk: Casshondra Pitchford
Liberty,,"PAGE FOUND, NO WEB LINK",Liberty,(601) 657-8071,560,06/2029,Mayor: Greg Walsh | Alderwoman: Charlotte Canova | Alderman: Joshua Gurney | Alderwoman At-Large: Lenora Morgan | Alderman: Curtis Seay | Alderman: John Shivers | City Clerk: Shawn Felder
Long Beach,https://www.cityoflongbeachms.info/,OK,Long-Beach,(228) 863-1556,"16,991",06/2029,Mayor: Timothy Pierce | Alderman: Jesse Allen | Alderman: Donald Frazer | Alderman: Joseph Giuffria | Alderman: Pete  McGoey | Alderman: Patrick Bennett | Alderman: Timothy McCaffrey | Alderman: Greg Bond | City Clerk: Emma  Ward
Louin,,"PAGE FOUND, NO WEB LINK",Louin,(601) 739-3630,275,06/2029,Mayor: Jason Martin | Alderman: Ken  Blocker | Alderwoman: Connie Martin | Alderwoman: Meloyde  McGill | Alderman: Thomas Moss | Alderman: James Phillips | City Clerk: Julie Wade
Louise,,"PAGE FOUND, NO WEB LINK",Louise,(662) 836-5121,180,06/2029,Mayor: Anissa Fountain | Alderwoman: Sally Brooks | Alderwoman: Debbie Hill | Alderman: Jerry Hughes | Alderman: Charles  Perry | Alderman: William Weissinger | City Clerk: Quketa Cooper
Louisville,https://www.cityoflouisvillems.com/,OK,Louisville,(662) 773-9201,"6,000",06/2029,Mayor: William Hill | Alderman: LM Claiborne | Alderman: William McGee | Alderman: Cody Ming | Alderman: Steven Hampton | Alderman: Eugene Crosby | City Clerk: Wanda Hudson
Lucedale,http://www.cityoflucedale.com,OK,Lucedale,(601) 947-2082,"3,510",06/2029,Mayor: Albert Jones | Alderman At-Large: Clay Wedgeworth | Alderwoman: Carrie Moulds | Alderwoman: Carol Howell | Alderwoman: Brittany Green | Alderman: Ken Holland | City Clerk: Tammy Oldenquist
Lula,,"PAGE FOUND, NO WEB LINK",Lula,(662) 337-4579,204,06/2029,Mayor: Robert Monroe | Alderman: Andrew Brown | Alderman: Cleo Harris | Alderwoman: Jakerria Jones | Alderman: Vincent Tompkins | Alderman: Lavone Young | City Clerk: LaSandra Pittman
Lumberton,http://lumberton.ms/,OK,Lumberton,(601) 796-8341,"1,510",06/2029,Mayor: James Sandifer | Alderwoman At-Large: Sandra Kee | Alderwoman: Annette Sandifer | Alderwoman: Laurie Surla | Alderman: Jonathan Griffith | Alderwoman: Jasmin Holder | City Clerk: Octavias Gray
Lyon,,"PAGE FOUND, NO WEB LINK",Lyon,(662) 902-9685,270,06/2029,Alderman: Gary Foster | Alderman: Shaun Jenkins | Alderman: Donald Sewell | Alderman: E. Sturdivant | Alderman: Paul Tedford | City Clerk: Jennifer Cummins
Maben,,"PAGE FOUND, NO WEB LINK",Maben,(662) 263-4212,771,06/2025,Mayor: Lee Shuffield | Alderman: Darrell Bryant | Alderman: Eric Johnson | Alderman: Ian Miles | Alderman: Sedrick Taylor | Alderwoman: Marlene Thomas | City Clerk: Lisa Wynn
Macon,http://www.cityofmacon.org/,OK,Macon,(662) 726-5847,"2,455",04/2029,Mayor: Freddie  Poindexter | Alderwoman: Beverly Hunter | Alderman: Earnest Harmon | Alderman: Patrick Hopkins | Alderman: Tommy Campbell | Alderwoman: Travonder McCloud | City Clerk: Casandra Henry
Madison,https://www.madisonthecity.com/,OK,Madison,(601) 856-7116,"27,747",06/2029,Mayor: Mary Hawkins Butler | Alderwoman At-Large: Sandra Strain | Alderwoman: Tawanna Tatum | Alderwoman: Patricia Peeler | Alderwoman: Janie Jarvis | Alderman: Paul  Tankersley | Alderman: Michael Hudgins | Alderman: Guy Bowering | City Clerk: Nathan Hanson
Magee,http://www.cityofmagee.ms.gov/,OK,Magee,(601) 849-3344,"4,000",06/2029,Mayor: Mark Grubbs | Alderwoman At-Large: Sue Honea | Alderwoman: Allyson Berch | Alderman: Lawana Thompson | Alderwoman: Suzie Bourn | Alderman: Julian Harper | City Clerk: Jon Styron
Magnolia,,"PAGE FOUND, NO WEB LINK",Magnolia,(601) 783-5211,"1,883",06/2029,Mayor: Marvin Brumfield | Alderwoman: Theresa Brown Weatherspoon | Alderman: Joseph Cornacchione | Alderwoman: Dorothy Dillon | Alderman: Darrell Pounds | Alderman: Chad Williams | City Clerk: Erica Brown
Mantachie,https://mantachie.itawambams.com/,OK,Mantachie,(662) 282-7949,"1,140",06/2029,Mayor: John Fennell | Alderman: Natchan Cooley | Alderwoman: Amanda Bridges | Alderman: Andrew Moore | Alderman: Michal Allen Witcher | Alderman: Wilton Cooper | City Clerk: Lana Riley
Mantee,,"PAGE FOUND, NO WEB LINK",Mantee,(803) 629-9668,241,06/2029,Mayor: Doug Wilson | Alderman: Andrew Bigham | Alderwoman: Christy  Buckner | Alderman: Jeffrey Johnson | Alderman: Tanner Roberson | Alderman: Jimmy Stevens | City Clerk: Courtney Scerbak
Marietta,,"PAGE FOUND, NO WEB LINK",Marietta,(662) 728-9320,256,06/2029,Mayor: Judy Ramey | Alderwoman: Gail Baird | Alderman: Ronald Burns | Alderman: Derek DeVaughn | Alderman: Michael Miller | Alderman: Rickey Stanley | City Clerk: Lori Nix
Marion,https://www.marionms.org/,OK,Marion,(601) 483-9573,"1,751",06/2029,Mayor: Larry Gill | Alderwoman: Lou Ann Baylor | Alderwoman: Stacy Blalock | Alderman: Norman Coleman | Alderwoman: Shaunta  Hedgemon | Alderwoman: Tammy Young | City Clerk: Wanda Bouldin
Marks,,"PAGE FOUND, NO WEB LINK",Marks,(662) 326-3161,"1,444",06/2029,Mayor: Stanley Lang | Alderman: Timmy Jamison | Alderwoman: Deborah Scipper | Alderwoman: Mercedes Staten | Alderman: Vernell Survillion | Alderman: Bill Knight | City Clerk: Sandy Burke
Mathiston,,"PAGE FOUND, NO WEB LINK",Mathiston,(662) 263-4898,831,06/2025,Mayor: Jimmy Carden | Alderman At-Large: Tommy Brooks | Alderman: Jamie  Brooks | Alderman: Jeff Haney | Alderman: Jeff Harrison | Alderman: Gary Jeffcoats | City Clerk/Court Clerk: Rachel Robinson
Mayersville,,"PAGE FOUND, NO WEB LINK",Mayersville,(662) 873-6439,433,06/2025,Mayor: Linda Short | Alderwoman: Annie Cartlidge | Alderman: William Howard | Alderman: Willie Peterson | Alderwoman: Loretta Robinson | Alderwoman: Penny Warren | City Clerk: Warnetta Bunton
McComb,https://www.mccomb-ms.gov/,OK,McComb,(601) 684-4000,"12,420",06/2026,Mayor: Bruce Mullins | Selectman: Thomas McKenzie | Selectwoman: Shaun Thompson | Selectman: Matt Codding | Selectwoman: Terri Waterman-Baylor | Selectman: Shawn Williams | Selectwoman: Kizzy  Coney | City Clerk: Akeisha Simmons
McCool,,"PAGE FOUND, NO WEB LINK",McCool,(662) 547-9973,103,06/2029,Mayor: Charles Fancher | Alderwoman: Terri Dempsey | Alderwoman: Savannah Hester | Alderman: Kaylen Hester | Alderman: Gina Smith | Alderman: Daphne Steed | City Clerk: Megan Hill
McLain,,"PAGE FOUND, NO WEB LINK",McLain,(601) 753-2205,313,06/2029,Mayor: Steven McCluskey | Alderwoman: Francis Byrd | Alderman: Ken Cumbie | Alderwoman: Janice Guest | Alderman: David Hartfield | Alderman: Len Moody | City Clerk: Kayla Woods
Meadville,https://www.meadvillems.gov/,OK,Meadville,(601) 384-5208,498,06/2029,Mayor: Lane Reed | Alderman: Tyler Blalock | Alderman: Bart Jones | Alderman: Josh Scott | Alderwoman: Kay Scott | Alderwoman: Stephanie Sullivan | City Clerk: Leslie Thompson
Mendenhall,http://www.cityofmendenhall.com/,OK,Mendenhall,(601) 847-1212,2505,06/2029,Mayor: Michael Booth | Alderwoman At-Large: Vickie Everett | Alderwoman: Judy Lee | Alderman: Robert Mangum | Alderwoman: Janna Miller | Alderman: Arthur Walker | City Clerk: Latasha Millis
Meridian,http://www.meridianms.org,OK,Meridian,601485192,"35,052",06/2029,Mayor: Percy Bland | Councilman: Tracy Tims | Councilman: Elliot Brewer | Councilman: Dwayne Davis | Councilwoman: Romande Walker | Councilman: Dustin Hill | City Clerk: Brandye Latimer
Merigold,,"PAGE FOUND, NO WEB LINK",Merigold,(662) 748-2765,379,06/2029,Mayor: Ken McGarrh | Alderman: Brent Manning | Alderman: Charles  Sellers | Alderman: Stephan Smith | Alderman: Pierce Criss | Alderman: John Meyer | City Clerk/Court Clerk: Edna Lloyd
Metcalfe,,"PAGE FOUND, NO WEB LINK",Metcalfe,(662) 335-0212,867,06/2029,Mayor: Shaquita Allen | Alderman: Torrione Carter | Vice Mayor: Etta Christon | Alderman: Charlie Ezekiel | Alderman: Aldric Murray | Alderman: Dewayne Rhodes | City Clerk: Rosie Chillis
Mize,,"PAGE FOUND, NO WEB LINK",Mize,(601) 733-2221,317,06/2029,Mayor: Larry Hancock | Alderman: Larry Allen | Alderman: Chuck Carter | Alderman: Reggie Kennedy | Alderman: Jason Runnels | Alderman: Robert Terrell | City Clerk: Kelly Barlow
Monticello,https://www.monticello.ms.gov/,OK,Monticello,(601) 587-0045,1369,06/2029,Mayor: Justin Mullins | Alderwoman: Angie Harris Cody | Alderman: Donald Walters | Alderman: Robert  Patterson | Alderman: John Catt | Alderwoman: Renea Rayborn | City Clerk: Dana Howell
Montrose,,"PAGE FOUND, NO WEB LINK",Montrose,(601) 739-3568,104,06/2029,Mayor: Randall James | Alderwoman: Mary Bean | Alderwoman: Christina Bean | Alderwoman: Shirley Boatright | Alderwoman: Gloria James | Alderman: Michael  Wedgeworth | City Clerk: Kristie Bean
Moorhead,,"PAGE FOUND, NO WEB LINK",Moorhead,(662) 246-5461,2000,06/2029,Mayor: George Holland | Alderwoman: Martha Knighten | Councilwoman: Annette Fields | Councilman: Robin Roberts | Councilman: Thomas Fairley | City Manager: John  Carpenter | City Clerk: Lakeshia Jones
Morgan City,,"PAGE FOUND, NO WEB LINK",Morgan-City,(662) 299-4733,207,06/2029,Mayor: Martha Mullen | Alderwoman: Shelia  Addison | Alderman: Starsky Martin | Alderwoman: Mary Moses | Alderwoman: Royce Nix | Alderman: Terry Nix | City Clerk: Leslie Addison
Morton,https://www.cityofmorton.com/,OK,Morton,(601) 732-8609,"3,700",06/2029,Mayor: James Steadman | Alderwoman: Marie Washington-Laird | Alderman: Al Reeves | Alderman: Winifred Johnson | Alderwoman: Oneida Hollis-Laster | Alderman: Jimmy  Brown | City Clerk: Tara Yates
Moss Point,,"PAGE FOUND, NO WEB LINK",Moss-Point,(228) 475-0300,11890,06/2029,Mayor: Billy  Knight | Alderman: Victor Bovastro | Alderman: David Chapman | Alderman: Sherwood Bradford | Alderman: Darius Wilson | Alderman: Timothy  DuBose | Alderman: Willie  Chestang | Alderman: Gary Lennep | City Clerk: Tricia Thigpen
Mound Bayou,,"PAGE FOUND, NO WEB LINK",Mound-Bayou,(662) 741-2194,"1,534",06/2029,Mayor: Leighton Aldridge | Alderman: Derek Bell | Alderman: Eugene Brown | Alderwoman: Nakeshia Fipps | Alderwoman: Beverly Johnson | Alderman: Jamal Pates | City Clerk: Teresa Brown
Mount Olive,,"PAGE FOUND, NO WEB LINK",Mount-Olive,(601) 797-3496,892,06/2029,Mayor: James Kelly | Alderman: Monique Duckworth | Alderman: Clifton Morgan | Alderman: Perry  Murphy | Alderman At-Large: Roger Pittman | Alderman: Trygve Reeves | City Clerk: Breyon Magee
Myrtle,,"PAGE FOUND, NO WEB LINK",Myrtle,(662) 988-2220,484,06/2029,Mayor: John  Canerdy | Alderwoman: Amber Hancock | Alderman: Milton McDonald | Alderwoman: Cynthia Parks | Alderman: Dustin Rasberry | Alderman: Sean Wiginton | City Clerk/Court Clerk: Lisa Merritt-Cook
Natchez,,"PAGE FOUND, NO WEB LINK",Natchez,(601) 445-7500,"14,500",06/2028,Mayor: Dan Gibson | Alderman: Billie Frazier | Alderwoman: Valencia Hall | Alderwoman: Sarah Carter Smith | Alderwoman: Felicia Bridgewater-Irving | Alderman: Benjamin Davis | Alderman: Curtis Moroney | City Clerk: Megan McKenzie
Nettleton,https://nettletonms.gov/,OK,Nettleton,(662) 963-2605,"1,935",06/2029,Mayor: Phillip Baulch | Alderman: Eric Moore | Alderman: Sammy  Raper | Alderman: Levi Lee | Alderman: Jeff Finch | Alderman: Daniel Lee | City Clerk: Dana Burcham
New Albany,https://www.visitnewalbany.com/,OK,New-Albany,(662) 534-1010,"8,050",06/2029,Mayor: Jeff Olson | Alderman: Keith Conlee | Alderwoman: Franita Farr | Alderman: Parks Smith | Alderman: Drew Horn | Alderman: William Tucker | City Clerk: Megan Kirk
New Augusta,,"PAGE FOUND, NO WEB LINK",New-Augusta,(601) 964-3710,515,06/2029,Mayor: Steve Spicer | Alderwoman: Tammy Bolton | Alderwoman: Pamela Brewer | Alderwoman: Robin Hulsey | Alderman: Wayne Murphy | Alderman: John Proctor | City Clerk: Sherry Burns
New Hebron,,"PAGE FOUND, NO WEB LINK",New-Hebron,(601) 694-2115,386,06/2029,Mayor: Cindy Bryan | Alderman: Dean Banks | Alderwoman: LeAnne Hartzog | Alderman: Gregory Jones | Alderwoman: Carolyn Rogers | Alderwoman: Elaine Stephens | City Clerk/Court Clerk: Jeremy Robbins
New Houlka,,"PAGE FOUND, NO WEB LINK",New-Houlka,(662) 568-2745,698,06/2029,Mayor: David Huffman | Alderwoman: Lorrie Brown | Alderman: Jimmy Kelly | Alderwoman: Debbie McDonald | Alderman: Brad Vance | Alderwoman: Sheila Walls | City Clerk: Christyn Langston
