municipality,office_or_body,status,source_url,note
Middleborough,Treasurer and Collector of Taxes,appointed,https://ecode360.com/30717659,Current charter §9 directs the Select Board to appoint the Town Treasurer and Collector of Taxes.
Middleborough,Planning Board Associate Member,appointed,https://ecode360.com/30718444,The elected Planning Board has five regular members; the separately listed associate member is excluded from the elected Post.
Middleborough,Housing Authority State Appointee,appointed,https://www.middleboroughma.gov/DocumentCenter/View/8607/ELECTED-OFFICIALS?bidId=,Richard Young is explicitly identified on the current official roster as State Appointee; only four local elected seats are modeled.
Middlefield,Treasurer,appointed,https://www.middlefield-ma.gov/232/Treasurer,Current official department page states the Treasurer is appointed by the Select Board for one year. This conflicts with obsolete 1987 bylaw text that called the office elected; current practice controls and the conflict is preserved.
Middlefield,Tax Collector,appointed,https://www.middlefield-ma.gov/229/Tax-Collector,Current official department page states the Tax Collector is appointed by the Select Board for one year; obsolete 1987 elected-office text is not serialized.
Middlefield,Zoning Board of Appeals,appointed,https://www.middlefield-ma.gov/218/Zoning-Board-of-Appeals,"Current official ZBA page states members are appointed for one year by the Select Board, superseding obsolete 1987 bylaw text describing elected members."
Middlefield,Board of Health,ex-officio,https://www.middlefield-ma.gov/204/Board-of-Health,The elected Select Board acts as the Board of Health; no separate voter-elected Board of Health Post is created.
Middleton,Board of Health,appointed,https://middletonma.gov/,Current municipal materials treat Board of Health service as appointed rather than voter-elected.
Middleton,Housing Authority state-appointed and tenant/resident seats,appointed,https://www.middletonma.gov/388/Housing-Authority,Only the three locally elected Housing Authority seats are serialized.
Milford,Highway Surveyor,appointed,https://malegislature.gov/Laws/SessionLaws/Acts/2026/Chapter15,"Acts of 2026, c.15 authorizes the Select Board to appoint the Highway Surveyor for up to five years; effective on passage February 4, 2026."
Milford,Housing Authority state-appointed seat,appointed,https://www.milfordma.gov/ArchiveCenter/ViewFile/Item/351,Excluded from the three locally elected Housing Authority seats.
Milford,Housing Authority Select Board appointee,appointed,https://www.milfordma.gov/ArchiveCenter/ViewFile/Item/351,Excluded from the three locally elected Housing Authority seats.
Millbury,Housing Authority state-appointed member,appointed,https://www.millburyma.gov/board-selectmen/files/annual-town-report-fy2025,Excluded from the locally elected Housing Authority Post.
Millbury,Finance Committee,appointed,https://www.millburyma.gov/board-selectmen/files/annual-town-report-fy2025,Listed outside the annual report's elected-town-official section; not serialized as an elected office.
Millis,Board of Assessors,appointed,https://www.millisma.gov/sites/g/files/vyhlif901/f/uploads/millis2024_final_tr.pdf,Current municipal appointment materials list the Board of Assessors among Select Board/Town Administrator appointments.
Millis,Treasurer/Collector,appointed,https://www.millisma.gov/,Treasurer/Collector is appointed under the current town administrative structure.
Millis,Finance Committee,appointed,https://www.millisma.gov/finance-committee/minutes/finance-committee-meeting-minutes-july-9-2025,Official minutes state that the Town Moderator appoints Finance Committee members.
Millis,Tree Warden,appointed,https://www.millisma.gov/finance-committee/minutes/finance-committee-meeting-minutes-october-1-2025,Official Finance Committee minutes expressly state that the Tree Warden is appointed by the Select Board.
Millville,Board of Assessors,appointed,https://www.millvillema.org/home/files/2019-annual-town-report,Municipal annual-report appointment structure identifies Assessors as non-elected.
Millville,Treasurer/Collector,appointed,https://www.millvillema.org/sites/g/files/vyhlif906/f/uploads/atm_warrant_5_11_26_with_explanations_and_recommendations_final.pdf,Current compensation/administrative materials treat Treasurer/Collector as a staff/appointed position; it is not serialized as elected.
Milton,Representative Town Meeting ex-officio participants,ex-officio,https://www.miltonma.gov/478/Town-Meeting,Only the 279 elected representatives are modeled; ex-officio participants are excluded.
Milton,Housing Authority non-elected seats,appointed,https://www.miltonma.gov/DocumentCenter/View/10279/1-Elected-Officials-2026--2027-5182026,Only the three locally elected Housing Authority seats are modeled.
Monroe,Fence viewers / measurers / field drivers / pound keepers,appointed,https://recorder.com/2025/07/02/975k-budget-approved-in-monroe-62121236/,These incidental offices were appointed at Town Meeting rather than elected by ballot and are excluded.
Monson,Housing Authority state representative seat,appointed,https://www.monson-ma.gov/DocumentCenter/View/3022/ELECTED-TOWN-OFFICIALS-2025,Only four locally elected Housing Authority seats are modeled.
Monson,Zoning Board of Appeals,appointed,https://www.monson-ma.gov/DocumentCenter/View/965/2024-Zoning-Bylaws-PDF,Current zoning bylaws provide for appointed Zoning Board of Appeals membership.
Montague,Town Clerk,appointed,https://montague-ma.gov/files/Town_Clerk_Hiring_Committee_Meeting_Documents_03-11-2025.pdf,Current hiring materials show the Town Clerk is an appointed position.
Montague,Treasurer / Tax Collector,appointed,https://montague-ma.gov/files/SELECTBOARD_2025-04-28_MEETING_Materials.pdf,"Town materials document transition from elected to appointed status effective May 20, 2025."
Montague,Tree Warden,appointed,https://montague-ma.gov/files/SELECTBOARD_2025-03-24_MEETING_Materials.pdf,Town materials document conversion to appointed status in 2025.
Montague,Housing Authority non-local/state seat,appointed,https://montague-ma.gov/files/FY2023_ANNUAL_REPORT_-_Final_-_WEBSITE.pdf,Only the four locally elected Housing Authority seats are modeled.
Monterey,Town Clerk,appointed,https://www.montereyma.gov/select-board/minutes/select-board-meeting-minutes-62723,Official Select Board minutes state the Town Clerk position had become appointed; it is not serialized as elected.
Monterey,Planning Board associate member,appointed,https://www.montereyma.gov/about-monterey/files/fy22-elected-officials,Only the seven regular elected Planning Board seats are modeled; the associate position is excluded.
