municipality,official_website_url,office_rows,schema_ready_rows,unresolved_rows,legal_source_urls,election_source_urls,results_source_urls,current_officeholder_verified_rows,known_vacancies,officeholder_unresolved_markers,person_validation_status,conflicts_notes,status
Chelmsford,,10,10,0,https://www.chelmsfordma.gov/988/Board-Committee-Descriptions | https://www.chelmsfordma.gov/DocumentCenter/View/22323/OFFICIAL-RESULTS | https://www.chelmsfordma.gov/237/Elections-Voting-Campaign-Finance,https://www.chelmsfordma.gov/237/Elections-Voting-Campaign-Finance,https://www.chelmsfordma.gov/DocumentCenter/View/22323/OFFICIAL-RESULTS,0,0,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Chelsea,,2,2,0,https://library.municode.com/ma/chelsea/codes/code_of_ordinances?nodeId=PTICH_CHCHMA,https://library.municode.com/ma/chelsea/codes/code_of_ordinances?nodeId=PTICH_CHCHMA,,0,0,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Cheshire,,8,7,1,https://cheshire-ma.gov/board-of-assessors/ | https://cheshire-ma.gov/board-of-health/ | https://cheshire-ma.gov/cemetery-commission/ | https://cheshire-ma.gov/planning-board/ | https://cheshire-ma.gov/news-and-notices/official-results-annual-town-election-542026/ | https://cheshire-ma.gov/board-of-selectmen/ | https://cheshire-ma.gov/news-and-notices/annual-town-election-2/ | https://cheshire-ma.gov/water-department/,https://cheshire-ma.gov/elections/,https://cheshire-ma.gov/news-and-notices/official-results-annual-town-election-542026/,0,0,0,schema-valid-for-serialized-persons,Official annual-election results include Hoosac Valley Regional School District committee contests. Cheshire's exact current seat allocation remains unresolved.,locally-researched-partial-or-substantial
Chester,,7,5,2,https://townofchester.net/board-of-health/ | https://townofchester.net/2026/04/2026-annual-town-election/ | https://townofchester.net/municipal-electric-light/ | https://townofchester.net/schools/ | https://townofchester.net/water-department/,https://townofchester.net/2026/04/2026-annual-town-election/,https://townofchester.net/2025/05/town-election-results-may-3-2025-2/,0,0,0,schema-valid-for-serialized-persons,Official annual-election notices repeatedly put two Library Trustee seats on the ballot for regular three-year terms; current trustee page is incomplete for deriving the full statutory/elected seat count. | Official 2025/2026 election notices establish regular three-year Select Board seats; total current board size is not normalized because the current board page appears incomplete/stale.,locally-researched-partial-or-substantial
Chesterfield,,13,13,0,https://www.townofchesterfieldma.com/government/pages/contact-info-elected-and-appointed-officials,https://www.townofchesterfieldma.com/town-clerk,https://www.townofchesterfieldma.com/town-clerk/pages/annual-town-election-results,0,0,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Chicopee,,7,7,0,https://chicopeema.gov/149/Assessors-Office | https://ecode360.com/12595859 | https://chicopeema.gov/416/Elected-Officials | https://ecode360.com/12595888,https://www.chicopeema.gov/866/Election-Specimens,https://www.chicopeema.gov/850/Election-Results,0,0,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Chilmark,,3,2,1,https://www.chilmarkma.gov/select-board/agenda/select-board-46 | https://www.chilmarkma.gov/node/27031 | https://www.chilmarkma.gov/select-board,https://www.chilmarkma.gov/town-clerk/town-meeting/pages/annual-town-meeting-reports,https://www.chilmarkma.gov/town-clerk/files/town-chilmark-annual-town-election-final-tally-results-april-29-2026,0,0,0,schema-valid-for-serialized-persons,Official town job posting expressly identifies the Cemetery Commission as elected; total elected seats and terms remain unresolved.,locally-researched-partial-or-substantial
Clarksburg,,9,6,3,https://clarksburgma.gov/board-of-health | https://clarksburgma.gov/town-election-may-13th-2025 | https://clarksburgma.gov/departments/planning-board | https://clarksburgma.gov/departments/selectboard,https://clarksburgma.gov/town-elections,https://clarksburgma.gov/2026-town-election-results,0,0,0,schema-valid-for-serialized-persons,Official 2025 warrant and 2026 results establish elected three-year Library Trustee seats; total board size remains unresolved. | Official 2025 warrant and 2026 results establish elected three-year School Committee seats; total local committee allocation remains unresolved. | Official 2025 warrant and 2026 result establish elected War Memorial Trustee seats; total board size remains unresolved.,locally-researched-partial-or-substantial
Clinton,,7,6,1,https://www.clintonma.gov/176/Public-Health-Department | https://www.clintonma.gov/397/Library-Trustees | https://www.clintonma.gov/CivicAlerts.aspx?AID=290&ARC=669 | https://www.clintonma.gov/198/Boards-Commissions | https://www.clintonma.gov/212/Planning-Board | https://www.clintonma.gov/205/Select-Board,https://www.clintonma.gov/304/Election-Information,https://www.clintonma.gov/304/Election-Information,0,0,0,schema-valid-for-serialized-persons,Official 2024 nomination notice establishes two regular School Committee seats for three-year terms. Total committee size remains unresolved from accessible authoritative pages.,locally-researched-partial-or-substantial
Cohasset,,8,8,0,https://www.cohassetma.gov/155/Board-of-Assessors | https://www.cohassetma.gov/290/Board-of-Health | https://www.cohassetma.gov/287/Housing-Authority | https://www.cohassetma.gov/289/Paul-Pratt-Memorial-Library-Trustees | https://www.cohassetma.gov/214/Planning-Board | https://www.cohassetma.gov/294/School-Committee | https://www.cohassetma.gov/293/Select-Board,https://www.cohassetma.gov/827/Election-Information,https://www.cohassetma.gov/248/Election-Ballots-Warrants-and-Results,0,0,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Colrain,,5,0,5,https://colrain-ma.gov/ | https://www.mma.org/community/colrain/,https://colrain-ma.gov/,,0,0,0,schema-valid-for-serialized-persons,"2026 local election reporting identifies one three-year elected Assessor seat; official town site confirms municipal election administration but did not expose the ballot text to the crawler. Total Board of Assessors size remains unresolved. | 2026 local reporting identifies one three-year Constable seat. Total number of constable positions remains unresolved and primary ballot/result text was not retrievable. | 2026 local reporting identifies two regular three-year Griswold Memorial Library trustee seats on the ballot. Total trustee board size remains unresolved from retrievable primary sources. | 2026 local reporting identifies one three-year Mohawk Trail Regional School District Committee seat. Colrain's full seat allocation remains unresolved. | MMA confirms a three-member Select Board and May 12, 2026 municipal election. Local 2026 reporting states one regular three-year Select Board seat was on the ballot. Official clerk pages were not retrievable/indexed cleanly, so office-level term evidence remains non-primary.",locally-researched-partial-or-substantial
Concord,,4,4,0,https://www.concordma.gov/1096/Housing-Authority | https://concordma.gov/1233/Town-Charter-Sections,https://www.concordma.gov/375/Elections-Voting,https://www.concordma.gov/397/Election-Results,0,0,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Conway,,3,1,2,https://conwayma.gov/ | https://www.mma.org/community/conway/,https://conwayma.gov/,https://conwayma.gov/,0,0,0,schema-valid-for-serialized-persons,Official town homepage explicitly labels a current Board of Assessors vacancy as elected. Total board size and regular term remain unresolved. | Official town homepage explicitly labels a current Board of Health vacancy as elected. Total board size and regular term remain unresolved.,locally-researched-partial-or-substantial
Cummington,,2,1,1,https://cummington-ma.gov/MLPBoard/ | https://cummington-ma.gov/Profile.php,https://cummington-ma.gov/Profile.php,https://www.cummington-ma.gov/,0,0,0,schema-valid-for-serialized-persons,Official MLP page states the board has been elected under G.L. c.164 since the initial appointed phase; current elected board size/term not normalized.,locally-researched-partial-or-substantial
Dalton,,4,4,0,https://dalton-ma.gov/cemeteries/ | https://dalton-ma.gov/finance-committee/ | https://dalton-ma.gov/planning-board/ | https://dalton-ma.gov/select-board/,https://dalton-ma.gov/elections/,https://dalton-ma.gov/annual-town-meeting/,0,0,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Danvers,,5,5,0,https://danverslibrary.org/trustees-meeting-minutes/ | https://www.danversma.gov/448/Town-Meeting | https://danverspublicschools.org/school-committee/ | https://www.danversma.gov/242/Select-Board,https://www.danversma.gov/649/Election-Results | https://www.danversma.gov/594/Election-Information,https://www.danversma.gov/DocumentCenter/View/4650/May-5-2026-OFFICIAL-Annual-Town-Election-Results | https://www.danversma.gov/649/Election-Results,0,0,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Dartmouth,,10,4,6,https://ecode360.com/47392091,https://www.dartmouthma.gov/236/Election-Results,https://www.dartmouthma.gov/236/Election-Results,0,0,0,schema-valid-for-serialized-persons,"Official Election Results archive includes April 7, 2026 annual town election. | Official Election Results archive includes April 7, 2026 annual town election. | Official Election Results archive includes April 7, 2026 annual town election. | Official Election Results archive includes April 7, 2026 annual town election. | Official Election Results archive includes April 7, 2026 annual town election. | Official Election Results archive includes April 7, 2026 annual town election.",locally-researched-partial-or-substantial
Dedham,,12,10,2,https://ecode360.com/15734606,https://www.dedhamma.gov/town-departments/town-clerk/elections-voting/election-dates,https://www.dedham-ma.gov/Home/Components/News/News/5581/,0,0,0,schema-valid-for-serialized-persons,"Town offices elected at large except Town Meeting representatives, who are elected by precinct. Housing Authority composition requires c.121B reconciliation. | Town offices elected at large except Town Meeting representatives, who are elected by precinct. Housing Authority composition requires c.121B reconciliation.",locally-researched-partial-or-substantial
Deerfield,https://www.deerfieldma.us/,10,7,3,https://www.deerfieldma.us/244/Voting-Election-Info | https://www.deerfieldma.us/201/Public-Schools | https://deerfieldma.us/321/South-Deerfield-Water-Supply-District,https://www.deerfieldma.us/244/Voting-Election-Info | https://deerfieldma.us/321/South-Deerfield-Water-Supply-District,https://www.deerfieldma.us/DocumentCenter/View/3632,3,0,9,schema-valid-for-serialized-persons,Current election materials verify Deerfield-elected Frontier seats and three-year regular terms; the exact Deerfield allocation remains unresolved. | Current election materials verify elected Planning Board seats with three-year regular terms; total current regular membership remains unresolved.,locally-researched-partial-or-substantial
Dennis,,9,6,3,https://www.town.dennis.ma.us/376/Elected-Appointed-Officials,https://www.town.dennis.ma.us/377/Election-Information,https://www.town.dennis.ma.us/381/Election-Results,0,0,0,schema-valid-for-serialized-persons,"Official page lists five current Housing Authority members, but does not distinguish locally elected seats from state/tenant-appointed seats; elected seat count is deliberately unresolved. | Official elected-officials page lists five current Old King's Highway Regional Historic District members; local elected-seat allocation/terms require district-law normalization. | Official elected-officials page lists the regional committee, but Dennis's seat allocation and term structure require district-agreement normalization.",locally-researched-partial-or-substantial
Dighton,,8,5,3,https://www.dighton-ma.gov/216/Assessing | https://www.dighton-ma.gov/DocumentCenter/View/3919/Annual-Town-Election-Available-Positions-2026 | https://www.dighton-ma.gov/359/Library-Trustees | https://dighton-ma.gov/283/Planning-Board | https://www.dighton-ma.gov/370/Board-of-Selectmen | https://dighton-ma.gov/290/Sewer-Commission,https://www.dighton-ma.gov/665/2026-Elections-Center,https://www.dighton-ma.gov/DocumentCenter/View/4077/Annual-Town-Election-Results---2026,0,0,0,schema-valid-for-serialized-persons,"2026 election materials establish a locally elected Housing Authority seat with a 5-year term. Current authority page lists six people and does not cleanly distinguish elected/state/tenant seats, so elected seat count remains unresolved. | 2026 available-positions notice and certified results establish an elected 3-year Parks and Recreation seat; total commission size remains unresolved. | 2026 ballot had two Dighton-Rehoboth regional school committee positions, each 3-year terms. Total Dighton allocation remains unresolved.",locally-researched-partial-or-substantial
Douglas,,1,1,0,https://www.douglas-ma.gov/233/Board-of-Selectmen,https://www.douglas-ma.gov/410/Elections,https://douglas-ma.gov/Archive.aspx,0,0,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Dover,https://www.doverma.gov/,14,14,0,https://www.doverma.gov/DocumentCenter/View/5710 | https://www.doverma.gov/261/Board-of-Selectmen | https://www.doverma.gov/directory.aspx?EID=37 | https://www.doverma.gov/287/Board-of-Assessors | https://www.doverma.gov/334/School-Committees | https://www.doverma.gov/319/Board-of-Library-Trustees | https://www.doverma.gov/257/Planning-Board | https://www.doverma.gov/171/Board-of-Health | https://www.doverma.gov/293/Cemetery-Commission | https://www.doverma.gov/210/Park-Recreation-Commission | https://www.doverma.gov/DocumentCenter/View/3486/2024-Town-Meeting-Warrant,https://www.doverma.gov/241/Caucus | https://www.doverma.gov/DocumentCenter/View/3486/2024-Town-Meeting-Warrant,https://www.doverma.gov/DocumentCenter/View/5816/5-18-26-Final-Town-Election-Results | https://www.doverma.gov/DocumentCenter/View/4496/3_Town-Gov_Dover24_Report,29,1,5,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Dracut,https://www.dracutma.gov/,7,7,0,https://www.dracutma.gov/DocumentCenter/View/467/Dracut-Town-Charter-PDF | https://www.dracutwater.com/,https://www.dracutma.gov/CivicAlerts.aspx?AID=509 | https://www.dracutwater.com/home/news/annual-meeting-and-election-0,https://www.dracutma.gov/DocumentCenter/View/5766/Annual-Town-Election-2026-Official-Election-Results,11,0,5,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Dudley,https://www.dudleyma.gov/,12,8,4,https://www.dudleyma.gov/198/Board-of-Selectmen | https://ecode360.com/DU3778 | https://www.dudleyma.gov/187/Boards-Commissions | https://www.dudleyma.gov/DocumentCenter/View/1146/Dudley-Financial-Statements-2025 | https://www.dudleyma.gov/233/Town-Clerk | https://www.dudleyma.gov/DocumentCenter/View/849/KP_Personell_and_TA_Bylaws-PDF,https://www.dudleyma.gov/DocumentCenter/View/1072/ATE-OFFICES-TO-BE-ELECTED-June-15-2026-PDF,https://www.dudleyma.gov/DocumentCenter/View/1185/OFFICIAL-ATE-06152026-Tally-Sheet,20,0,6,schema-valid-for-serialized-persons,Elected status and regular three-year term are verified from the 2026 official election materials; total elected seat count remains unresolved. | Elected status and regular three-year term are verified from the 2026 official election materials; total commission seat count remains unresolved. | The 2026 ballot has a regular three-year seat and a separate one-year unexpired contest. Stable regular term is three years; total elected board seat count remains unresolved. | Current official Town financial statements establish that the Town elects Housing Authority governing board/member(s). The number of locally elected seats versus appointed seats remains unresolved.,locally-researched-partial-or-substantial
Dunstable,https://www.dunstable-ma.gov/,14,14,0,https://www.dunstable-ma.gov/select-board | https://www.dunstable-ma.gov/town-clerk/minutes/annual-town-meeting-may-15-2021 | https://www.dunstable-ma.gov/sites/g/files/vyhlif4361/f/uploads/2018_annual_town_report_complete_doc.pdf | https://www.dunstable-ma.gov/board-health | https://www.dunstable-ma.gov/board-selectmen/files/2010-town-report | https://www.dunstable-ma.gov/sites/g/files/vyhlif4361/f/pages/pressrelease_2026.05.19_ate.docx.pdf | https://www.dunstable-ma.gov/planning-board | https://www.dunstable-ma.gov/water-department | https://www.dunstable-ma.gov/home/news/school-committee-vacancy-and-appointment | https://www.dunstable-ma.gov/town-meeting-information,https://www.dunstable-ma.gov/sites/g/files/vyhlif4361/f/pages/pressrelease_2026.05.19_ate.docx.pdf | https://www.dunstable-ma.gov/annualtownelectionmay2024,https://www.dunstable-ma.gov/town-clerk/files/special-town-election-july-21-2026-official-results | https://www.dunstable-ma.gov/town-clerk/files/annual-town-election-official-results-may-19-2026 | https://www.dunstable-ma.gov/annualtownelectionmay2024,20,0,9,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Duxbury,https://www.town.duxbury.ma.us/,7,7,0,https://www.town.duxbury.ma.us/duxbury-selectboard | https://www.town.duxbury.ma.us/board-assessors | https://www.town.duxbury.ma.us/school-committee | https://www.town.duxbury.ma.us/planning-board | https://www.town.duxbury.ma.us/sites/g/files/vyhlif10506/f/uploads/general_by-laws_revised_08-13-2024_through_atm_2024.pdf | https://www.town.duxbury.ma.us/duxbury-housing-authority,https://www.town.duxbury.ma.us/home/news/2026-annual-town-election-notice-available-seats | https://www.town.duxbury.ma.us/town-moderator,https://www.town.duxbury.ma.us/town-clerk/pages/elections-voting,23,0,4,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
East Bridgewater,https://www.eastbridgewaterma.gov/,9,7,2,https://www.eastbridgewaterma.gov/1708/Assessors-Department | https://www.eastbridgewaterma.gov/DocumentCenter/View/680/table_of_organization_-_department_informationpdf-PDF | https://www.eastbridgewaterma.gov/1939/Planning-Board | https://www.eastbridgewaterma.gov/1933/Select-Board,https://www.eastbridgewaterma.gov/2225/Candidates,https://www.eastbridgewaterma.gov/AgendaCenter/ViewFile/Agenda/_05162026-774,14,0,5,schema-valid-for-serialized-persons,Official organization chart verifies elected status and three-year terms; total elected seat count was not independently normalized in this batch. | Official organization chart verifies elected status and three-year regular terms; total elected committee size remains unresolved here.,locally-researched-partial-or-substantial
East Brookfield,https://www.eastbrookfieldma.us/,14,14,0,https://www.eastbrookfieldma.us/1300/Board-of-Selectmen | https://eastbrookfieldma.us/1201/Town-Clerk | https://eastbrookfieldma.us/DocumentCenter/View/329 | https://www.eastbrookfieldma.us/1297/Board-of-Assessors | https://eastbrookfieldma.us/DocumentCenter/View/345/Town-Government | https://www.eastbrookfieldma.us/1302/Planning-Board | https://www.eastbrookfieldma.us/1304/Library-Trustees-Committee | https://eastbrookfieldma.us/1307/Finance-Committee,https://www.eastbrookfieldma.us/1277/Annual-Town-Election | https://eastbrookfieldma.us/DocumentCenter/View/256/offices_to_be_on_ballotpdf,,20,1,8,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
East Longmeadow,https://www.eastlongmeadowma.gov/,2,2,0,https://www.eastlongmeadowma.gov/650/Town-Council | https://www.eastlongmeadowma.gov/964/School-Committee,https://www.eastlongmeadowma.gov/DocumentCenter/View/18447,,12,0,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Eastham,https://www.eastham-ma.gov/,7,5,2,https://www.eastham-ma.gov/596/Select-Board | https://www.eastham-ma.gov/576/Town-Moderator | https://www.eastham-ma.gov/171/Town-Clerk | https://www.eastham-ma.gov/546/Board-of-Library-Trustees | https://www.nausetschools.org/page/eastham-school-committee | https://www.nausetschools.org/page/regional-school-committee-agendas-minutes | https://www.eastham-ma.gov/583/Housing-Authority,https://www.eastham-ma.gov/DocumentCenter/View/5218/May-19-2026-Annual-Town-Election-Final-Results,https://www.eastham-ma.gov/DocumentCenter/View/5218/May-19-2026-Annual-Town-Election-Final-Results,16,0,1,schema-valid-for-serialized-persons,Elected status and regular three-year term are verified; Eastham-specific total seat allocation remains unresolved. | The 2026 final election results verify an elected five-year Housing Authority seat. The locally elected versus appointed total composition remains unresolved and is not guessed.,locally-researched-partial-or-substantial
Easthampton,https://www.easthamptonma.gov/,3,3,0,https://www.easthamptonma.gov/DocumentCenter/View/5029/2025-Biennial-City-Election-Calendar,https://www.easthamptonma.gov/DocumentCenter/View/5029/2025-Biennial-City-Election-Calendar,https://www.easthamptonma.gov/327/Election-Results-Turnout-Statistics,16,0,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Easton,,7,1,6,https://ecode360.com/32308759,,,0,0,0,schema-valid-for-serialized-persons,Notable local exception: Finance Committee is identified as elected. | Notable local exception: Finance Committee is identified as elected. | Notable local exception: Finance Committee is identified as elected. | Notable local exception: Finance Committee is identified as elected. | Notable local exception: Finance Committee is identified as elected. | Notable local exception: Finance Committee is identified as elected.,locally-researched-partial-or-substantial
Edgartown,https://www.edgartown-ma.us/,9,6,3,https://www.edgartown-ma.us/selectboard | https://www.mvtimes.com/2026/02/26/2026-town-election-candidates/ | https://www.edgartown-ma.us/board-health | https://www.edgartown-ma.us/planning-board | https://www.edgartown-ma.us/parks | https://www.edgartown-ma.us/wastewater | https://www.edgartown-ma.us/financial-advisory-committee,https://www.mvtimes.com/2026/02/26/2026-town-election-candidates/,https://www.edgartown-ma.us/town-clerk,20,0,5,schema-valid-for-serialized-persons,2026 election candidate material verifies the office remains elected. Total current elected seat count and regular term remain unresolved. | 2026 town-election candidate material verifies current elective status; total elected seat count and regular term remain unresolved. | 2026 town-election candidate material verifies current elective status; total elected trustee count and regular term remain unresolved.,locally-researched-partial-or-substantial
Egremont,https://www.egremont-ma.gov/,10,10,0,https://www.egremont-ma.gov/182/Select-Board | https://www.egremont-ma.gov/164/Assessors | https://www.egremont-ma.gov/213/Cemetery-Commission | https://www.egremont-ma.gov/directory.aspx | https://www.egremont-ma.gov/191/Planning-Board | https://www.egremont-ma.gov/Calendar.aspx?EID=1051&PREVIEW=YES | https://www.egremont-ma.gov/209/Water-Commission | https://www.egremont-ma.gov/215/School-Committee,https://www.egremont-ma.gov/DocumentCenter/View/2864 | https://www.egremont-ma.gov/Archive.aspx?ADID=183 | https://www.egremont-ma.gov/Archive.aspx?ADID=188 | https://www.egremont-ma.gov/215/School-Committee,https://www.egremont-ma.gov/CivicAlerts.asp?AID=722&ARC=1230,24,0,1,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Erving,https://www.erving-ma.gov/,10,10,0,https://www.erving-ma.gov/Directory.aspx?did=32 | https://www.erving-ma.gov/Directory.aspx?did=43 | https://www.erving-ma.gov/directory.aspx | https://www.erving-ma.gov/DocumentCenter/View/2964 | https://www.erving-ma.gov/231/School-Committee | https://www.erving-ma.gov/229/Planning-Board | https://www.erving-ma.gov/498/Volunteer-Opportunities | https://www.erving-ma.gov/180/Boards-Committees,https://www.erving-ma.gov/Calendar.aspx?EID=3069,,26,1,3,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Essex,https://www.essexma.org/,8,5,3,https://www.essexma.org/DocumentCenter/View/2410/2026-Annual-Town-Meeting-Warrant | https://www.essexma.org/1315/Board-of-Selectmen | https://www.essexma.org/1319/Board-of-Health | https://www.essexma.org/1318/Board-of-Library-Trustees,https://www.essexma.org/DocumentCenter/View/2410/2026-Annual-Town-Meeting-Warrant,https://www.essexma.org/DocumentCenter/View/2441/May-11-2026-Local-Election--Unofficial-Results,8,0,6,schema-valid-for-serialized-persons,2026 warrant includes one regular three-year assessor seat plus one two-year unexpired assessor seat. Total elected board size was not independently normalized in this batch. | Current elected status and regular three-year term are verified; Essex-specific total representation remains unresolved. | Current warrant verifies a five-year elected Planning Board seat; total current regular membership is left unresolved rather than inferred from older reports.,locally-researched-partial-or-substantial
Everett,https://cityofeverett.com/,3,3,0,https://cityofeverett.com/wp-content/uploads/2025/02/02-27-2025-Charter-Review-Committee-Agenda.pdf | https://cityofeverett.com/city-hall/administration/city-council/ | https://cityofeverett.com/2025-municipal-election-results/,https://cityofeverett.com/2025-municipal-election-results/,https://cityofeverett.com/2025-municipal-election-results/,21,0,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Fairhaven,https://fairhaven-ma.gov/,10,8,2,https://fairhaven-ma.gov/select-board/ | https://fairhaven-ma.gov/planning-board/ | https://fairhaven-ma.gov/school-committee/ | https://fairhaven-ma.gov/board-of-public-works/ | https://fairhaven-ma.gov/board-of-health/ | https://fairhaven-ma.gov/commissioner-of-trust-funds/ | https://fairhaven-ma.gov/housing-authority-2/ | https://fairhaven-ma.gov/town-clerk/ | https://fairhaven-ma.gov/wp-content/uploads/2024/04/Fairhaven-Town-Code-Town-Meeting-Special-Acts.pdf | https://fairhaven-ma.gov/tree-department/,https://fairhaven-ma.gov/2026-election-information/ | https://fairhaven-ma.gov/elections-and-voting/,https://fairhaven-ma.gov/document/election-results/,23,0,7,schema-valid-for-serialized-persons,"Current official roster explicitly labels at least three elected members and one state appointee, but one member's selection method is not labeled. Total locally elected seats remain unresolved. | Representative Town Meeting members are elected by precinct for staggered three-year terms. Exact current total elected representative count remains unresolved.",locally-researched-partial-or-substantial
Fall River,https://fallriverma.gov/,3,3,0,https://fallriverma.gov/government/mayors_office/index.php | https://fallriverma.gov/government/city_council/current_council.php | https://www.fallriverschools.org/school-committee/sub-committee,https://fallriverma.gov/departments/elections/press_releases.php,https://fallriverma.gov/departments/elections/election_results.php,16,0,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Falmouth,,7,2,5,https://ecode360.com/16230397,,,0,0,0,schema-valid-for-serialized-persons,Charter distinguishes individual elected officers from elected boards. | Charter distinguishes individual elected officers from elected boards. | Charter distinguishes individual elected officers from elected boards. | Charter distinguishes individual elected officers from elected boards. | Charter distinguishes individual elected officers from elected boards.,locally-researched-partial-or-substantial
Fitchburg,https://www.fitchburgma.gov/,3,3,0,https://www.fitchburgma.gov/412/Mayors-Office | https://www.fitchburgma.gov/385/City-Council | https://www.fitchburgma.gov/718/School-Committee,https://www.fitchburgma.gov/913/Running-for-Local-Office,https://www.fitchburgma.gov/DocumentCenter/View/15944/2025-Municipal-Election-Official-Results,18,0,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Florida,https://www.townofflorida.org/,11,7,4,https://www.townofflorida.org/announcements.html | https://www.townofflorida.org/officials.html,https://www.townofflorida.org/announcements.html,https://www.townofflorida.org/announcements.html,18,0,4,schema-valid-for-serialized-persons,2026 official election establishes elected status and a regular three-year seat; total trustee count remains unresolved. | 2026 official election establishes elected status and a regular three-year seat; total committee size remains unresolved. | 2026 election filled two three-year trustee seats; total board size remains unresolved. | 2026 election verifies a regular five-year elected Planning Board seat; total board size remains unresolved.,locally-researched-partial-or-substantial
Foxborough,https://foxboroughma.gov/,9,6,3,https://foxboroughma.gov/boards_committees/select_board | https://foxboroughma.gov/boards_committees/open_seats___how_to_apply | https://foxboroughma.gov/boards_committees/board_of_health | https://foxboroughma.gov/departments/land_use | https://www.foxborough.k12.ma.us/school_committee/members_of_the_school_committee | https://foxboroughma.gov/boards_committees/board_of_water_sewer_commissioners | https://www.foxboroughma.gov/departments/town_clerk/town_meeting_minutes/2008_may_12_annual_town_meeting,https://foxboroughma.gov/boards_committees/open_seats___how_to_apply | https://foxboroughma.gov/departments/town_clerk,https://foxboroughma.gov/departments/town_clerk/election_information/election_results,22,0,3,schema-valid-for-serialized-persons,Current Town election/open-seat materials continue to identify Board of Assessors as a voter-filled body; total elected seat count was not independently normalized in this batch. | Current Town materials identify Boyden Library Trustees among bodies filled at Annual Town Election; total current elected trustee count remains unresolved. | Current Town materials continue to identify Housing Authority seats among election-filled bodies; locally elected versus appointed total composition remains unresolved.,locally-researched-partial-or-substantial
Framingham,https://www.framinghamma.gov/,5,5,0,https://www.framinghamma.gov/2703/Elected-Officials,https://www.framinghamma.gov/669/Elections-Voting,https://www.framinghamma.gov/2703/Elected-Officials,38,0,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Franklin,https://www.franklinma.gov/,8,8,0,https://www.franklinma.gov/DocumentCenter/View/9795/2013-Town-of-Franklin-Charter-Report | https://www.franklinma.gov/158/Boards-Committees,https://www.franklinma.gov/357/Elections-ArchiveOffice-of-Campaign-and-,https://www.franklinma.gov/DocumentCenter/View/7540/OFFICIAL-RESULTS---11-4-2025---LOCAL-BIENNIAL-ELECTION-11-5-2025,25,0,3,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Freetown,https://www.freetownma.gov/,15,15,0,https://www.freetownma.gov/1296/Elected-Officials-Federal-State-Local,https://www.freetownma.gov/DocumentCenter/View/1510/Annual-Census-Newsletter | https://www.freetownma.gov/1296/Elected-Officials-Federal-State-Local,https://www.freetownma.gov/1294/Election-Results,45,1,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Gardner,https://www.gardner-ma.gov/,3,3,0,https://www.gardner-ma.gov/DocumentCenter/View/274/City-Charter-As-Amended-Jan-2-2025?bidId=,https://www.gardner-ma.gov/1021/Elected-Officials,https://www.gardner-ma.gov/1021/Elected-Officials | https://www.gardner-ma.gov/324/City-Council | https://www.gardner-ma.gov/431/School-Committee,18,0,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Georgetown,https://www.georgetownma.gov/,8,7,1,https://www.georgetownma.gov/government/boards___commissions/board_of_selectmen/index.php | https://georgetownma.gov/government/boards___commissions/school_committee/index.php | https://www.georgetownma.gov/government/boards___commissions/planning_board/index.php | https://www.georgetownma.gov/government/boards___commissions/board_of_assessors/index.php | https://www.georgetownma.gov/government/boards___commissions/library_trustees/index.php | https://georgetownma.gov/government/boards___commissions/board_of_light_commissioners/index.php | https://www.georgetownma.gov/government/boards___commissions/water_commission/index.php | https://www.georgetownma.gov/government/boards___commissions/housing_authority.php,https://www.georgetownma.gov/departments/town_clerk/elections/index.php,https://www.georgetownma.gov/departments/town_clerk/elections/election_results.php,30,0,1,schema-valid-for-serialized-persons,"Current official roster lists four commissioners, but the locally elected versus appointed composition was not independently normalized; elected status is retained conservatively from the annual election layer, with seat count unresolved.",locally-researched-partial-or-substantial
